sample_id	sequence_length	dataset	k	n_top_k	n_trees
1	41	positive	20	36.0	22
1	41	positive	1	18.5	23
1	41	positive	5	26.0	23
1	41	positive	10	32.0	23
1	41	positive	20	36.0	23
1	41	positive	1	18.5	24
1	41	positive	5	26.0	24
1	41	positive	10	32.0	24
1	41	positive	20	36.0	24
1	41	positive	1	18.5	25
1	41	positive	5	26.0	25
1	41	positive	10	32.0	25
1	41	positive	20	36.0	25
1	41	positive	1	18.5	26
1	41	positive	5	26.0	26
1	41	positive	10	32.0	26
1	41	positive	20	36.0	26
1	41	positive	1	18.5	27
1	41	positive	5	26.0	27
1	41	positive	10	32.0	27
1	41	positive	20	36.0	27
1	41	positive	1	18.5	28
1	41	positive	5	26.0	28
1	41	positive	10	32.0	28
1	41	positive	20	36.0	28
1	41	positive	1	18.5	29
1	41	positive	5	26.0	29
1	41	positive	10	32.0	29
1	41	positive	20	36.0	29
1	41	positive	1	18.5	30
1	41	positive	5	26.0	30
1	41	positive	10	32.0	30
1	41	positive	20	36.0	30
1	41	positive	1	18.5	31
1	41	positive	5	25.0	31
1	41	positive	10	32.0	31
1	41	positive	20	36.0	31
1	41	positive	1	18.5	32
1	41	positive	5	26.0	32
1	41	positive	10	32.0	32
1	41	positive	20	36.0	32
2	72	EA_positive	1	29.0	1
2	72	EA_positive	5	56.5	1
2	72	EA_positive	10	63.0	1
2	72	EA_positive	20	68.0	1
2	72	EA_positive	1	32.5	2
2	72	EA_positive	5	56.5	2
2	72	EA_positive	10	63.0	2
2	72	EA_positive	20	68.0	2
2	72	EA_positive	1	31.5	3
2	72	EA_positive	5	54.5	3
2	72	EA_positive	10	62.0	3
2	72	EA_positive	20	67.0	3
2	72	EA_positive	1	33.5	4
2	72	EA_positive	5	54.5	4
2	72	EA_positive	10	63.0	4
2	72	EA_positive	20	68.0	4
2	72	EA_positive	1	34.5	5
2	72	EA_positive	5	54.5	5
2	72	EA_positive	10	63.0	5
2	72	EA_positive	20	68.0	5
2	72	EA_positive	1	33.5	6
2	72	EA_positive	5	55.5	6
2	72	EA_positive	10	62.0	6
2	72	EA_positive	20	69.0	6
2	72	EA_positive	1	34.5	7
2	72	EA_positive	5	55.5	7
2	72	EA_positive	10	63.0	7
2	72	EA_positive	20	69.0	7
2	72	EA_positive	1	34.5	8
2	72	EA_positive	5	56.5	8
2	72	EA_positive	10	63.0	8
2	72	EA_positive	20	69.0	8
2	72	EA_positive	1	34.5	9
2	72	EA_positive	5	55.5	9
2	72	EA_positive	10	63.0	9
2	72	EA_positive	20	68.0	9
2	72	EA_positive	1	35.5	10
2	72	EA_positive	5	55.5	10
2	72	EA_positive	10	63.0	10
2	72	EA_positive	20	69.0	10
2	72	EA_positive	1	34.5	11
2	72	EA_positive	5	56.5	11
2	72	EA_positive	10	63.0	11
2	72	EA_positive	20	69.0	11
2	72	EA_positive	1	33.5	12
2	72	EA_positive	5	56.5	12
2	72	EA_positive	10	64.0	12
2	72	EA_positive	20	68.0	12
2	72	EA_positive	1	35.5	13
2	72	EA_positive	5	56.5	13
2	72	EA_positive	10	64.0	13
2	72	EA_positive	20	69.0	13
2	72	EA_positive	1	35.5	14
2	72	EA_positive	5	56.5	14
2	72	EA_positive	10	64.0	14
2	72	EA_positive	20	69.0	14
2	72	EA_positive	1	35.5	15
2	72	EA_positive	5	56.5	15
2	72	EA_positive	10	64.0	15
2	72	EA_positive	20	68.0	15
2	72	EA_positive	1	36.5	16
2	72	EA_positive	5	57.5	16
2	72	EA_positive	10	64.0	16
2	72	EA_positive	20	68.0	16
2	72	EA_positive	1	36.5	17
2	72	EA_positive	5	56.5	17
2	72	EA_positive	10	64.0	17
2	72	EA_positive	20	68.0	17
2	72	EA_positive	1	36.5	18
2	72	EA_positive	5	56.5	18
2	72	EA_positive	10	64.0	18
2	72	EA_positive	20	68.0	18
2	72	EA_positive	1	35.5	19
2	72	EA_positive	5	56.5	19
2	72	EA_positive	10	64.0	19
2	72	EA_positive	20	68.0	19
2	72	EA_positive	1	35.5	20
2	72	EA_positive	5	56.5	20
2	72	EA_positive	10	64.0	20
2	72	EA_positive	20	69.0	20
2	72	EA_positive	1	35.5	21
2	72	EA_positive	5	56.5	21
2	72	EA_positive	10	64.0	21
2	72	EA_positive	20	68.0	21
2	72	EA_positive	1	35.5	22
2	72	EA_positive	5	56.5	22
2	72	EA_positive	10	64.0	22
2	72	EA_positive	20	69.0	22
2	72	EA_positive	1	35.5	23
2	72	EA_positive	5	56.5	23
2	72	EA_positive	10	64.0	23
2	72	EA_positive	20	69.0	23
2	72	EA_positive	1	35.5	24
2	72	EA_positive	5	56.5	24
2	72	EA_positive	10	64.0	24
2	72	EA_positive	20	69.0	24
2	72	EA_positive	1	35.5	25
2	72	EA_positive	5	56.5	25
2	72	EA_positive	10	64.0	25
2	72	EA_positive	20	69.0	25
2	72	EA_positive	1	35.5	26
2	72	EA_positive	5	56.5	26
2	72	EA_positive	10	64.0	26
2	72	EA_positive	20	69.0	26
2	72	EA_positive	1	34.5	27
2	72	EA_positive	5	56.5	27
2	72	EA_positive	10	64.0	27
2	72	EA_positive	20	69.0	27
2	72	EA_positive	1	34.5	28
2	72	EA_positive	5	56.5	28
2	72	EA_positive	10	64.0	28
2	72	EA_positive	20	69.0	28
2	72	EA_positive	1	34.5	29
2	72	EA_positive	5	56.5	29
2	72	EA_positive	10	64.0	29
2	72	EA_positive	20	69.0	29
2	72	EA_positive	1	34.5	30
2	72	EA_positive	5	56.5	30
2	72	EA_positive	10	64.0	30
2	72	EA_positive	20	69.0	30
2	72	EA_positive	1	34.5	31
2	72	EA_positive	5	56.5	31
2	72	EA_positive	10	64.0	31
2	72	EA_positive	20	69.0	31
2	72	EA_positive	1	34.5	32
2	72	EA_positive	5	56.5	32
2	72	EA_positive	10	64.0	32
2	72	EA_positive	20	69.0	32
3	47	EA_negative	1	23.30952380952381	1
3	47	EA_negative	5	37.04761904761905	1
3	47	EA_negative	10	43.00000000000001	1
3	47	EA_negative	20	45.00000000000001	1
3	47	EA_negative	1	23.0	2
3	47	EA_negative	5	38.5	2
3	47	EA_negative	10	43.00000000000001	2
3	47	EA_negative	20	46.00000000000001	2
3	47	EA_negative	1	22.5	3
3	47	EA_negative	5	38.5	3
3	47	EA_negative	10	43.0	3
3	47	EA_negative	20	46.00000000000001	3
3	47	EA_negative	1	22.5	4
3	47	EA_negative	5	38.5	4
3	47	EA_negative	10	42.5	4
3	47	EA_negative	20	45.0	4
3	47	EA_negative	1	21.5	5
3	47	EA_negative	5	38.5	5
3	47	EA_negative	10	44.0	5
3	47	EA_negative	20	46.00000000000001	5
3	47	EA_negative	1	22.5	6
3	47	EA_negative	5	39.5	6
3	47	EA_negative	10	43.0	6
3	47	EA_negative	20	46.00000000000001	6
3	47	EA_negative	1	22.5	7
3	47	EA_negative	5	39.0	7
3	47	EA_negative	10	43.0	7
3	47	EA_negative	20	45.0	7
3	47	EA_negative	1	22.5	8
3	47	EA_negative	5	40.5	8
3	47	EA_negative	10	44.0	8
3	47	EA_negative	20	45.0	8
3	47	EA_negative	1	24.0	9
3	47	EA_negative	5	40.5	9
3	47	EA_negative	10	44.0	9
3	47	EA_negative	20	45.0	9
3	47	EA_negative	1	24.0	10
3	47	EA_negative	5	39.5	10
3	47	EA_negative	10	44.0	10
3	47	EA_negative	20	45.0	10
3	47	EA_negative	1	23.0	11
3	47	EA_negative	5	40.5	11
3	47	EA_negative	10	44.0	11
3	47	EA_negative	20	45.0	11
3	47	EA_negative	1	24.0	12
3	47	EA_negative	5	39.5	12
3	47	EA_negative	10	44.0	12
3	47	EA_negative	20	45.0	12
3	47	EA_negative	1	24.0	13
3	47	EA_negative	5	40.5	13
3	47	EA_negative	10	44.0	13
3	47	EA_negative	20	45.0	13
3	47	EA_negative	1	24.0	14
3	47	EA_negative	5	40.5	14
3	47	EA_negative	10	44.0	14
3	47	EA_negative	20	45.0	14
3	47	EA_negative	1	26.0	15
3	47	EA_negative	5	40.5	15
3	47	EA_negative	10	44.0	15
3	47	EA_negative	20	45.0	15
3	47	EA_negative	1	26.0	16
3	47	EA_negative	5	40.5	16
3	47	EA_negative	10	44.0	16
3	47	EA_negative	20	45.0	16
3	47	EA_negative	1	26.0	17
3	47	EA_negative	5	40.5	17
3	47	EA_negative	10	44.0	17
3	47	EA_negative	20	45.0	17
3	47	EA_negative	1	26.0	18
3	47	EA_negative	5	40.5	18
3	47	EA_negative	10	44.0	18
3	47	EA_negative	20	45.0	18
3	47	EA_negative	1	26.0	19
3	47	EA_negative	5	40.5	19
3	47	EA_negative	10	44.0	19
3	47	EA_negative	20	45.0	19
3	47	EA_negative	1	25.0	20
3	47	EA_negative	5	40.5	20
3	47	EA_negative	10	44.0	20
3	47	EA_negative	20	45.0	20
3	47	EA_negative	1	25.0	21
3	47	EA_negative	5	40.5	21
3	47	EA_negative	10	44.0	21
3	47	EA_negative	20	45.0	21
3	47	EA_negative	1	25.0	22
3	47	EA_negative	5	40.5	22
3	47	EA_negative	10	44.0	22
3	47	EA_negative	20	45.0	22
3	47	EA_negative	1	25.0	23
3	47	EA_negative	5	40.5	23
3	47	EA_negative	10	44.0	23
3	47	EA_negative	20	45.0	23
3	47	EA_negative	1	25.0	24
3	47	EA_negative	5	40.5	24
3	47	EA_negative	10	44.0	24
3	47	EA_negative	20	45.0	24
3	47	EA_negative	1	25.0	25
3	47	EA_negative	5	40.5	25
3	47	EA_negative	10	44.0	25
3	47	EA_negative	20	45.0	25
3	47	EA_negative	1	25.0	26
3	47	EA_negative	5	41.5	26
3	47	EA_negative	10	44.0	26
3	47	EA_negative	20	45.0	26
3	47	EA_negative	1	25.0	27
3	47	EA_negative	5	40.5	27
3	47	EA_negative	10	44.0	27
3	47	EA_negative	20	45.0	27
3	47	EA_negative	1	25.0	28
3	47	EA_negative	5	40.5	28
3	47	EA_negative	10	44.0	28
3	47	EA_negative	20	45.0	28
3	47	EA_negative	1	25.0	29
3	47	EA_negative	5	40.5	29
3	47	EA_negative	10	44.0	29
3	47	EA_negative	20	45.0	29
3	47	EA_negative	1	25.0	30
3	47	EA_negative	5	40.5	30
3	47	EA_negative	10	44.0	30
3	47	EA_negative	20	45.0	30
3	47	EA_negative	1	25.0	31
3	47	EA_negative	5	40.5	31
3	47	EA_negative	10	44.0	31
3	47	EA_negative	20	45.0	31
3	47	EA_negative	1	25.0	32
3	47	EA_negative	5	40.5	32
3	47	EA_negative	10	44.0	32
3	47	EA_negative	20	45.0	32
4	41	positive	1	17.5	1
4	41	positive	5	24.0	1
4	41	positive	10	31.0	1
4	41	positive	20	36.0	1
4	41	positive	1	15.5	2
4	41	positive	5	25.5	2
4	41	positive	10	31.0	2
4	41	positive	20	36.0	2
4	41	positive	1	17.5	3
4	41	positive	5	25.0	3
4	41	positive	10	31.0	3
4	41	positive	20	36.0	3
4	41	positive	1	19.5	4
4	41	positive	5	25.0	4
4	41	positive	10	32.0	4
4	41	positive	20	37.0	4
4	41	positive	1	17.5	5
4	41	positive	5	25.0	5
4	41	positive	10	31.0	5
4	41	positive	20	36.0	5
4	41	positive	1	18.5	6
4	41	positive	5	24.0	6
4	41	positive	10	31.0	6
4	41	positive	20	36.0	6
4	41	positive	1	18.5	7
4	41	positive	5	25.0	7
4	41	positive	10	31.0	7
4	41	positive	20	36.0	7
4	41	positive	1	17.5	8
4	41	positive	5	25.0	8
4	41	positive	10	31.0	8
4	41	positive	20	36.0	8
4	41	positive	1	19.5	9
4	41	positive	5	25.0	9
4	41	positive	10	31.0	9
4	41	positive	20	36.0	9
4	41	positive	1	19.5	10
4	41	positive	5	25.0	10
4	41	positive	10	32.0	10
4	41	positive	20	36.0	10
4	41	positive	1	19.5	11
4	41	positive	5	25.0	11
4	41	positive	10	32.0	11
4	41	positive	20	36.0	11
4	41	positive	1	19.5	12
4	41	positive	5	26.0	12
4	41	positive	10	32.0	12
4	41	positive	20	36.0	12
4	41	positive	1	19.5	13
4	41	positive	5	25.0	13
4	41	positive	10	31.0	13
4	41	positive	20	36.0	13
4	41	positive	1	19.5	14
4	41	positive	5	26.0	14
4	41	positive	10	30.0	14
4	41	positive	20	36.0	14
4	41	positive	1	18.5	15
4	41	positive	5	25.0	15
4	41	positive	10	30.0	15
4	41	positive	20	36.0	15
4	41	positive	1	18.5	16
4	41	positive	5	25.0	16
4	41	positive	10	31.0	16
4	41	positive	20	36.0	16
4	41	positive	1	18.5	17
4	41	positive	5	24.0	17
4	41	positive	10	31.0	17
4	41	positive	20	36.0	17
4	41	positive	1	18.5	18
4	41	positive	5	24.0	18
4	41	positive	10	30.0	18
4	41	positive	20	36.0	18
4	41	positive	1	18.5	19
4	41	positive	5	24.0	19
4	41	positive	10	30.0	19
4	41	positive	20	36.0	19
4	41	positive	1	18.5	20
4	41	positive	5	24.0	20
4	41	positive	10	30.0	20
4	41	positive	20	36.0	20
4	41	positive	1	18.5	21
4	41	positive	5	24.0	21
4	41	positive	10	30.0	21
4	41	positive	20	36.0	21
4	41	positive	1	18.5	22
4	41	positive	5	24.0	22
4	41	positive	10	31.0	22
4	41	positive	20	36.0	22
4	41	positive	1	18.5	23
4	41	positive	5	24.0	23
4	41	positive	10	31.0	23
4	41	positive	20	36.0	23
4	41	positive	1	18.5	24
4	41	positive	5	24.0	24
4	41	positive	10	30.0	24
4	41	positive	20	36.0	24
4	41	positive	1	18.5	25
4	41	positive	5	24.0	25
4	41	positive	10	30.0	25
4	41	positive	20	36.0	25
4	41	positive	1	18.5	26
4	41	positive	5	24.0	26
4	41	positive	10	30.0	26
4	41	positive	20	36.0	26
4	41	positive	1	18.5	27
4	41	positive	5	24.0	27
4	41	positive	10	30.0	27
4	41	positive	20	36.0	27
4	41	positive	1	18.5	28
4	41	positive	5	24.0	28
4	41	positive	10	31.0	28
4	41	positive	20	36.0	28
4	41	positive	1	18.5	29
4	41	positive	5	24.0	29
4	41	positive	10	31.0	29
4	41	positive	20	36.0	29
4	41	positive	1	18.5	30
4	41	positive	5	25.0	30
4	41	positive	10	30.0	30
4	41	positive	20	36.0	30
4	41	positive	1	17.5	31
4	41	positive	5	25.0	31
4	41	positive	10	31.0	31
4	41	positive	20	36.0	31
4	41	positive	1	18.5	32
4	41	positive	5	25.0	32
4	41	positive	10	31.0	32
4	41	positive	20	36.0	32
5	68	EA_positive	1	30.0	1
5	68	EA_positive	5	54.5	1
5	68	EA_positive	10	64.0	1
5	68	EA_positive	20	67.0	1
5	68	EA_positive	1	33.0	2
5	68	EA_positive	5	57.5	2
5	68	EA_positive	10	63.0	2
5	68	EA_positive	20	66.0	2
5	68	EA_positive	1	34.0	3
5	68	EA_positive	5	56.5	3
5	68	EA_positive	10	63.0	3
5	68	EA_positive	20	66.0	3
5	68	EA_positive	1	35.0	4
5	68	EA_positive	5	56.5	4
5	68	EA_positive	10	63.0	4
5	68	EA_positive	20	66.0	4
5	68	EA_positive	1	35.0	5
5	68	EA_positive	5	57.0	5
5	68	EA_positive	10	63.0	5
5	68	EA_positive	20	66.0	5
5	68	EA_positive	1	34.5	6
5	68	EA_positive	5	57.0	6
5	68	EA_positive	10	63.0	6
5	68	EA_positive	20	66.0	6
5	68	EA_positive	1	35.5	7
5	68	EA_positive	5	57.0	7
5	68	EA_positive	10	63.0	7
5	68	EA_positive	20	66.0	7
5	68	EA_positive	1	34.0	8
5	68	EA_positive	5	58.0	8
5	68	EA_positive	10	63.0	8
5	68	EA_positive	20	66.0	8
5	68	EA_positive	1	36.0	9
5	68	EA_positive	5	57.0	9
5	68	EA_positive	10	63.0	9
5	68	EA_positive	20	66.0	9
5	68	EA_positive	1	36.0	10
5	68	EA_positive	5	57.5	10
5	68	EA_positive	10	63.0	10
5	68	EA_positive	20	66.0	10
5	68	EA_positive	1	36.0	11
5	68	EA_positive	5	57.5	11
5	68	EA_positive	10	63.0	11
5	68	EA_positive	20	66.0	11
5	68	EA_positive	1	36.0	12
5	68	EA_positive	5	57.5	12
5	68	EA_positive	10	63.0	12
5	68	EA_positive	20	66.0	12
5	68	EA_positive	1	36.0	13
5	68	EA_positive	5	57.5	13
5	68	EA_positive	10	63.0	13
5	68	EA_positive	20	66.0	13
5	68	EA_positive	1	36.0	14
5	68	EA_positive	5	57.5	14
5	68	EA_positive	10	63.0	14
5	68	EA_positive	20	66.0	14
5	68	EA_positive	1	37.0	15
5	68	EA_positive	5	58.5	15
5	68	EA_positive	10	63.0	15
5	68	EA_positive	20	66.0	15
5	68	EA_positive	1	37.0	16
5	68	EA_positive	5	58.5	16
5	68	EA_positive	10	63.0	16
5	68	EA_positive	20	66.0	16
5	68	EA_positive	1	37.0	17
5	68	EA_positive	5	58.5	17
5	68	EA_positive	10	63.0	17
5	68	EA_positive	20	66.0	17
5	68	EA_positive	1	36.0	18
5	68	EA_positive	5	58.5	18
5	68	EA_positive	10	63.0	18
5	68	EA_positive	20	66.0	18
5	68	EA_positive	1	37.0	19
5	68	EA_positive	5	57.5	19
5	68	EA_positive	10	63.0	19
5	68	EA_positive	20	66.0	19
5	68	EA_positive	1	37.0	20
5	68	EA_positive	5	57.5	20
5	68	EA_positive	10	63.0	20
5	68	EA_positive	20	66.0	20
5	68	EA_positive	1	37.0	21
5	68	EA_positive	5	57.5	21
5	68	EA_positive	10	63.0	21
5	68	EA_positive	20	66.0	21
5	68	EA_positive	1	37.0	22
5	68	EA_positive	5	57.5	22
5	68	EA_positive	10	63.0	22
5	68	EA_positive	20	66.0	22
5	68	EA_positive	1	37.0	23
5	68	EA_positive	5	57.5	23
5	68	EA_positive	10	63.0	23
5	68	EA_positive	20	66.0	23
5	68	EA_positive	1	36.0	24
5	68	EA_positive	5	57.5	24
5	68	EA_positive	10	63.0	24
5	68	EA_positive	20	66.0	24
5	68	EA_positive	1	36.0	25
5	68	EA_positive	5	57.5	25
5	68	EA_positive	10	63.0	25
5	68	EA_positive	20	66.0	25
5	68	EA_positive	1	37.0	26
5	68	EA_positive	5	58.5	26
5	68	EA_positive	10	63.0	26
5	68	EA_positive	20	66.0	26
5	68	EA_positive	1	37.0	27
5	68	EA_positive	5	58.5	27
5	68	EA_positive	10	63.0	27
5	68	EA_positive	20	66.0	27
5	68	EA_positive	1	37.0	28
5	68	EA_positive	5	58.5	28
5	68	EA_positive	10	63.0	28
5	68	EA_positive	20	66.0	28
5	68	EA_positive	1	37.0	29
5	68	EA_positive	5	57.5	29
5	68	EA_positive	10	63.0	29
5	68	EA_positive	20	66.0	29
5	68	EA_positive	1	37.0	30
5	68	EA_positive	5	57.5	30
5	68	EA_positive	10	63.0	30
5	68	EA_positive	20	66.0	30
5	68	EA_positive	1	37.0	31
5	68	EA_positive	5	57.5	31
5	68	EA_positive	10	63.0	31
5	68	EA_positive	20	66.0	31
5	68	EA_positive	1	38.0	32
5	68	EA_positive	5	58.5	32
5	68	EA_positive	10	63.0	32
5	68	EA_positive	20	66.0	32
6	47	EA_negative	1	25.5	1
6	47	EA_negative	5	40.5	1
6	47	EA_negative	10	42.0	1
6	47	EA_negative	20	45.0	1
6	47	EA_negative	1	24.5	2
6	47	EA_negative	5	40.5	2
6	47	EA_negative	10	43.0	2
6	47	EA_negative	20	45.0	2
6	47	EA_negative	1	24.5	3
6	47	EA_negative	5	40.5	3
6	47	EA_negative	10	44.0	3
6	47	EA_negative	20	46.00000000000001	3
6	47	EA_negative	1	23.0	4
6	47	EA_negative	5	39.5	4
6	47	EA_negative	10	44.0	4
6	47	EA_negative	20	46.00000000000001	4
6	47	EA_negative	1	24.0	5
6	47	EA_negative	5	39.5	5
6	47	EA_negative	10	44.0	5
6	47	EA_negative	20	46.00000000000001	5
6	47	EA_negative	1	24.0	6
6	47	EA_negative	5	39.5	6
6	47	EA_negative	10	44.0	6
6	47	EA_negative	20	46.00000000000001	6
6	47	EA_negative	1	25.0	7
6	47	EA_negative	5	40.5	7
6	47	EA_negative	10	44.0	7
6	47	EA_negative	20	46.00000000000001	7
6	47	EA_negative	1	26.0	8
6	47	EA_negative	5	40.5	8
6	47	EA_negative	10	44.0	8
6	47	EA_negative	20	46.00000000000001	8
6	47	EA_negative	1	25.0	9
6	47	EA_negative	5	40.5	9
6	47	EA_negative	10	44.0	9
6	47	EA_negative	20	46.00000000000001	9
6	47	EA_negative	1	25.0	10
6	47	EA_negative	5	40.5	10
6	47	EA_negative	10	44.0	10
6	47	EA_negative	20	46.00000000000001	10
6	47	EA_negative	1	24.0	11
6	47	EA_negative	5	40.5	11
6	47	EA_negative	10	44.0	11
6	47	EA_negative	20	46.00000000000001	11
