sample_id	sequence_length	dataset	k	n_top_k	tree_index
2	72	EA_positive	5	56.5	7
2	72	EA_positive	10	64.0	7
2	72	EA_positive	20	69.0	7
2	72	EA_positive	1	31.5	8
2	72	EA_positive	5	57.5	8
2	72	EA_positive	10	62.0	8
2	72	EA_positive	20	65.0	8
2	72	EA_positive	1	32.0	9
2	72	EA_positive	5	54.0	9
2	72	EA_positive	10	61.0	9
2	72	EA_positive	20	66.0	9
2	72	EA_positive	1	31.5	10
2	72	EA_positive	5	54.5	10
2	72	EA_positive	10	63.0	10
2	72	EA_positive	20	68.0	10
2	72	EA_positive	1	33.0	11
2	72	EA_positive	5	56.5	11
2	72	EA_positive	10	64.0	11
2	72	EA_positive	20	69.0	11
2	72	EA_positive	1	30.0	12
2	72	EA_positive	5	58.0	12
2	72	EA_positive	10	62.0	12
2	72	EA_positive	20	69.0	12
2	72	EA_positive	1	30.5	13
2	72	EA_positive	5	55.5	13
2	72	EA_positive	10	62.0	13
2	72	EA_positive	20	67.0	13
2	72	EA_positive	1	28.666666666666668	14
2	72	EA_positive	5	54.83333333333333	14
2	72	EA_positive	10	61.99999999999999	14
2	72	EA_positive	20	66.0	14
2	72	EA_positive	1	34.0	15
2	72	EA_positive	5	56.0	15
2	72	EA_positive	10	64.0	15
2	72	EA_positive	20	69.0	15
2	72	EA_positive	1	30.5	16
2	72	EA_positive	5	58.5	16
2	72	EA_positive	10	64.0	16
2	72	EA_positive	20	68.0	16
2	72	EA_positive	1	32.16666666666667	17
2	72	EA_positive	5	53.83333333333333	17
2	72	EA_positive	10	61.99999999999999	17
2	72	EA_positive	20	69.0	17
2	72	EA_positive	1	33.5	18
2	72	EA_positive	5	55.0	18
2	72	EA_positive	10	64.0	18
2	72	EA_positive	20	67.0	18
2	72	EA_positive	1	29.6	19
2	72	EA_positive	5	56.00000000000001	19
2	72	EA_positive	10	63.000000000000014	19
2	72	EA_positive	20	67.00000000000001	19
2	72	EA_positive	1	34.5	20
2	72	EA_positive	5	55.0	20
2	72	EA_positive	10	64.0	20
2	72	EA_positive	20	68.0	20
2	72	EA_positive	1	28.5	21
2	72	EA_positive	5	52.5	21
2	72	EA_positive	10	61.0	21
2	72	EA_positive	20	65.0	21
2	72	EA_positive	1	33.66666666666667	22
2	72	EA_positive	5	53.833333333333336	22
2	72	EA_positive	10	61.0	22
2	72	EA_positive	20	68.0	22
2	72	EA_positive	1	29.6	23
2	72	EA_positive	5	55.00000000000001	23
2	72	EA_positive	10	63.000000000000014	23
2	72	EA_positive	20	68.00000000000001	23
2	72	EA_positive	1	28.5	24
2	72	EA_positive	5	52.5	24
2	72	EA_positive	10	60.0	24
2	72	EA_positive	20	67.0	24
2	72	EA_positive	1	32.5	25
2	72	EA_positive	5	54.5	25
2	72	EA_positive	10	64.0	25
2	72	EA_positive	20	71.0	25
2	72	EA_positive	1	35.0	26
2	72	EA_positive	5	54.0	26
2	72	EA_positive	10	62.0	26
2	72	EA_positive	20	69.0	26
